spacing_D,wd_deg,ws_m_per_s,TI_per,VS,yaw_deg,power_demand_per,SAWS,SATI
4,0.0,6,0.1,0.1,"[0.0, -20.0, 0.0]","[1.0, 1.0, 1.0]","[6.15734472 5.98361998 5.79351522 5.98361998 4.34878073 4.23116712
 4.10159769 4.22254941 4.70572869 4.73598624 4.32196478 4.23123965]","[0.10054274 0.10101483 0.10133917 0.10037304 0.22393763 0.20432455
 0.19441583 0.20139763 0.19733526 0.17946055 0.18327653 0.19833296]"
4,0.0,6,0.1,0.1,"[0.0, 0.0, 0.0]","[0.6, 0.6, 1.0]","[6.15734472 5.98361998 5.79351522 5.98361998 4.34878073 4.23116712
 4.10159769 4.22254941 4.41646644 4.29033002 4.17648717 4.29670104]","[0.10054274 0.10101483 0.10133917 0.10037304 0.19039643 0.19205676
 0.19322561 0.18946537 0.19219771 0.19500718 0.19571007 0.19042948]"
4,0.0,6,0.1,0.1,"[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[6.15734472 5.98361998 5.79351522 5.98361998 4.34878073 4.23116712
 4.10159769 4.22254941 4.41646644 4.29033002 4.17648717 4.29670104]","[0.10054274 0.10101483 0.10133917 0.10037304 0.19039643 0.19205676
 0.19322561 0.18946537 0.19219771 0.19500718 0.19571007 0.19042948]"
4,0.0,6,0.1,0.1,"[0.0, 20.0, 0.0]","[0.6, 0.6, 1.0]","[6.15734472 5.98361998 5.79351522 5.98361998 4.34878073 4.23116712
 4.10159769 4.22254941 4.64428122 4.30044391 4.45969655 4.75589935]","[0.10054274 0.10101483 0.10133917 0.10037304 0.2020729  0.21248665
 0.23056765 0.20708782 0.18479529 0.20622045 0.20160784 0.17853897]"
4,0.0,6,0.1,0.1,"[0.0, 20.0, 0.0]","[1.0, 1.0, 1.0]","[6.15734472 5.98361998 5.79351522 5.98361998 4.34878073 4.23116712
 4.10159769 4.22254941 4.64428122 4.30044391 4.45969655 4.75589935]","[0.10054274 0.10101483 0.10133917 0.10037304 0.2020729  0.21248665
 0.23056765 0.20708782 0.18479529 0.20622045 0.20160784 0.17853897]"
4,0.0,6,0.1,0.1,"[30.0, -20.0, 0.0]","[0.6, 0.6, 1.0]","[6.15734472 5.98361998 5.79351522 5.98361998 5.03548376 4.3092206
 4.77711272 5.40413411 4.67336188 4.53546523 4.40728119 4.54416826]","[0.11329222 0.11540112 0.12311195 0.11291161 0.16755925 0.19143046
 0.1661936  0.14776104 0.18223033 0.1858285  0.18572355 0.17970726]"
4,0.0,6,0.1,0.1,"[30.0, -20.0, 0.0]","[1.0, 1.0, 1.0]","[6.15734472 5.98361998 5.79351522 5.98361998 5.03548376 4.3092206
 4.77711272 5.40413411 4.67336188 4.53546523 4.40728119 4.54416826]","[0.11329222 0.11540112 0.12311195 0.11291161 0.16755925 0.19143046
 0.1661936  0.14776104 0.18223033 0.1858285  0.18572355 0.17970726]"
4,0.0,6,0.1,0.1,"[30.0, 0.0, 0.0]","[0.6, 0.6, 1.0]","[6.15734472 5.98361998 5.79351522 5.98361998 5.03548376 4.3092206
 4.77711272 5.40413411 4.71853333 4.30945544 4.53562036 4.904062  ]","[0.11329222 0.11540112 0.12311195 0.11291161 0.17225674 0.20634389
 0.1870562  0.15487713 0.18161591 0.20615697 0.1983307  0.17231426]"
4,0.0,6,0.1,0.1,"[30.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[6.15734472 5.98361998 5.79351522 5.98361998 5.03548376 4.3092206
 4.77711272 5.40413411 4.71853333 4.30945544 4.53562036 4.904062  ]","[0.11329222 0.11540112 0.12311195 0.11291161 0.17225674 0.20634389
 0.1870562  0.15487713 0.18161591 0.20615697 0.1983307  0.17231426]"
4,0.0,6,0.1,0.1,"[30.0, 20.0, 0.0]","[0.6, 0.6, 1.0]","[6.15734472 5.98361998 5.79351522 5.98361998 5.03548376 4.3092206
 4.77711272 5.40413411 5.11444186 4.62507983 4.87471769 5.30016441]","[0.11329222 0.11540112 0.12311195 0.11291161 0.20633402 0.24985547
 0.22804346 0.17506545 0.18267091 0.21100248 0.20566252 0.17059325]"
